frame_num,nose,left_eye,right_eye,right_shoulder,left_shoulder,left_elbow,right_elbow,right_wrist,left_wrist,left_hip,right_hip,left_knee,right_knee
11.0,"(0.5092629790306091, 0.5901679992675781, -0.011090071871876717)","(0.5126197338104248, 0.5801971554756165, -0.022186268121004105)","(0.5121837854385376, 0.57980877161026, -0.0031994879245758057)","(0.5361682176589966, 0.6275694966316223, 0.09287261217832565)","(0.5378843545913696, 0.6276533603668213, -0.09603088349103928)","(0.5510875582695007, 0.6928972601890564, -0.13177330791950226)","(0.5458256602287292, 0.690761148929596, 0.12633375823497772)","(0.5281960368156433, 0.7299853563308716, 0.10991834104061127)","(0.5189506411552429, 0.7250538468360901, -0.11974547058343887)","(0.5440958142280579, 0.7627596855163574, -0.05896419659256935)","(0.5536876916885376, 0.7598855495452881, 0.058941807597875595)","(0.5068778395652771, 0.8499271273612976, -0.052192047238349915)","(0.5703531503677368, 0.8518595695495605, 0.06121033802628517)"
12.0,"(0.5057982206344604, 0.5915033221244812, -0.011825102381408215)","(0.5089698433876038, 0.5818888545036316, -0.021753493696451187)","(0.5084815621376038, 0.5814547538757324, -0.003581809578463435)","(0.5296782851219177, 0.6307403445243835, 0.09296349436044693)","(0.5359725952148438, 0.6280725002288818, -0.09178196638822556)","(0.5510009527206421, 0.6923136115074158, -0.13522715866565704)","(0.5368203520774841, 0.6939655542373657, 0.13535939157009125)","(0.5102698802947998, 0.7261280417442322, 0.11527854949235916)","(0.5195062160491943, 0.727352499961853, -0.146087646484375)","(0.5438610315322876, 0.763244092464447, -0.05776123329997063)","(0.5531039834022522, 0.7615880370140076, 0.05774576589465141)","(0.5053516030311584, 0.8495869040489197, -0.050491370260715485)","(0.5722823739051819, 0.8522785305976868, 0.0563657209277153)"
13.0,"(0.5030819773674011, 0.5941238403320312, -0.020801343023777008)","(0.5057486891746521, 0.5842018127441406, -0.029982632026076317)","(0.5048838257789612, 0.5837609171867371, -0.011767000891268253)","(0.5239169597625732, 0.6346303224563599, 0.09325696527957916)","(0.5341141223907471, 0.629323422908783, -0.09424126893281937)","(0.5509251952171326, 0.6935103535652161, -0.14412261545658112)","(0.5265800356864929, 0.6966343522071838, 0.15054132044315338)","(0.49839410185813904, 0.7230137586593628, 0.13645222783088684)","(0.5213459134101868, 0.7299383878707886, -0.16981001198291779)","(0.5430151224136353, 0.7657176852226257, -0.05771256983280182)","(0.5494564771652222, 0.7639750242233276, 0.05769449844956398)","(0.5070523023605347, 0.8515593409538269, -0.052663736045360565)","(0.5728078484535217, 0.8530663251876831, 0.061494357883930206)"
14.0,"(0.49993446469306946, 0.5964771509170532, -0.030224589630961418)","(0.503095805644989, 0.5865970253944397, -0.03730972856283188)","(0.5017658472061157, 0.5861965417861938, -0.020766181871294975)","(0.5188714265823364, 0.6385179758071899, 0.0910387858748436)","(0.5316201448440552, 0.6318976879119873, -0.08916688710451126)","(0.5493133068084717, 0.6951144933700562, -0.13333211839199066)","(0.5175071954727173, 0.6968693733215332, 0.13773539662361145)","(0.49056053161621094, 0.7214118242263794, 0.09909383952617645)","(0.5210115909576416, 0.732511579990387, -0.15277811884880066)","(0.5407397747039795, 0.7661499977111816, -0.05705064907670021)","(0.5434902906417847, 0.7635777592658997, 0.057030484080314636)","(0.5063358545303345, 0.8534553050994873, -0.05639759078621864)","(0.568989098072052, 0.8537896871566772, 0.04957275837659836)"
15.0,"(0.5005285739898682, 0.5970526933670044, -0.052661046385765076)","(0.504210352897644, 0.5881263613700867, -0.05809103697538376)","(0.5025723576545715, 0.5875726938247681, -0.04207063838839531)","(0.5170935988426208, 0.6395466923713684, 0.08903937041759491)","(0.5297821164131165, 0.6349688768386841, -0.09895163029432297)","(0.5484500527381897, 0.6979628205299377, -0.1529083549976349)","(0.5137191414833069, 0.6971673965454102, 0.1463204175233841)","(0.4878966212272644, 0.7211459875106812, 0.1271621435880661)","(0.520304799079895, 0.7339579463005066, -0.18620437383651733)","(0.5376928448677063, 0.7700634598731995, -0.05885755643248558)","(0.5388883948326111, 0.7673022150993347, 0.058847323060035706)","(0.5053718090057373, 0.8557649254798889, -0.07588917762041092)","(0.5622667670249939, 0.8579195141792297, 0.05272851511836052)"
16.0,"(0.5038721561431885, 0.5997573137283325, -0.08194232732057571)","(0.5069609880447388, 0.5908890962600708, -0.07762006670236588)","(0.5048528909683228, 0.5906898379325867, -0.06708712130784988)","(0.5119016170501709, 0.6415824294090271, 0.08967424929141998)","(0.5302212834358215, 0.6373850703239441, -0.07046166062355042)","(0.5474151372909546, 0.7011158466339111, -0.1302664577960968)","(0.5121608376502991, 0.7021500468254089, 0.12027569115161896)","(0.4880026876926422, 0.7269619107246399, 0.04422055929899216)","(0.5197046399116516, 0.733834445476532, -0.1560179591178894)","(0.5373548865318298, 0.772456169128418, -0.058429818600416183)","(0.5315115451812744, 0.7705347537994385, 0.058442410081624985)","(0.5063960552215576, 0.8600785136222839, -0.08111584186553955)","(0.5500518083572388, 0.8660509586334229, 0.04207901656627655)"
17.0,"(0.5166823267936707, 0.5970547795295715, -0.04827122762799263)","(0.5171605944633484, 0.588212788105011, -0.043471429497003555)","(0.512973427772522, 0.5879569053649902, -0.037532344460487366)","(0.5015085935592651, 0.6382400393486023, 0.09032967686653137)","(0.5357491970062256, 0.6359134316444397, -0.011267976835370064)","(0.5456259846687317, 0.6992173194885254, -0.04748974367976189)","(0.5062280297279358, 0.7023443579673767, 0.08932732045650482)","(0.49741747975349426, 0.7405518889427185, 0.008800039999186993)","(0.51163649559021, 0.7215576171875, -0.10020656138658524)","(0.53788161277771, 0.7652003169059753, -0.050505008548498154)","(0.5223934650421143, 0.767666757106781, 0.05058993026614189)","(0.5155701041221619, 0.8592305183410645, -0.10025724768638611)","(0.5264518857002258, 0.861801028251648, 0.031240928918123245)"
18.0,"(0.5233255624771118, 0.5901508331298828, -0.07635915279388428)","(0.523014485836029, 0.5814707279205322, -0.06986494362354279)","(0.5196856260299683, 0.5813392400741577, -0.07062854617834091)","(0.498657763004303, 0.628164529800415, 0.033169735223054886)","(0.5387614369392395, 0.6233415007591248, -0.020557912066578865)","(0.544633150100708, 0.6890432834625244, -0.04481573402881622)","(0.5060253143310547, 0.6987859010696411, 0.039902202785015106)","(0.5035997629165649, 0.740293025970459, -0.023762566968798637)","(0.5098771452903748, 0.7000151872634888, -0.10155288875102997)","(0.5381695628166199, 0.7503151893615723, -0.036718226969242096)","(0.5201680064201355, 0.7569944858551025, 0.03675917908549309)","(0.52242511510849, 0.855908215045929, -0.08565246313810349)","(0.5165905952453613, 0.8579379320144653, -0.006487248465418816)"
19.0,"(0.5265913009643555, 0.5755169987678528, -0.054454948753118515)","(0.5259202718734741, 0.5672839283943176, -0.04879997298121452)","(0.5229924321174622, 0.5673215389251709, -0.04807550460100174)","(0.49908748269081116, 0.6157572269439697, 0.04622262343764305)","(0.5408784747123718, 0.6071742177009583, -0.0025690707843750715)","(0.541839063167572, 0.6745979189872742, -0.02780184894800186)","(0.5031501054763794, 0.6757657527923584, -0.009352470748126507)","(0.5019558072090149, 0.6605172157287598, -0.11832945048809052)","(0.5066754221916199, 0.6794776916503906, -0.06086057424545288)","(0.5384766459465027, 0.741366446018219, -0.03077670931816101)","(0.5192021131515503, 0.7481697797775269, 0.030810510739684105)","(0.5292349457740784, 0.8459402918815613, -0.07516475766897202)","(0.5094844698905945, 0.8444223403930664, -0.016546092927455902)"
20.0,"(0.5300390720367432, 0.5632324814796448, -0.07028961926698685)","(0.5291234850883484, 0.5548956990242004, -0.06337538361549377)","(0.5259596109390259, 0.5551304817199707, -0.06529362499713898)","(0.5009028911590576, 0.6043326258659363, 0.027387838810682297)","(0.5428075194358826, 0.5943649411201477, -0.019185205921530724)","(0.5408298969268799, 0.662713885307312, -0.04596015065908432)","(0.5050309896469116, 0.6612336039543152, -0.03648463264107704)","(0.5065086483955383, 0.6190338730812073, -0.1344703882932663)","(0.5060780048370361, 0.6611778140068054, -0.07339251041412354)","(0.5430220365524292, 0.7352158427238464, -0.028527015820145607)","(0.5215041637420654, 0.7406079173088074, 0.028542200103402138)","(0.5391191840171814, 0.8401772379875183, -0.05478183180093765)","(0.5051969289779663, 0.8322848677635193, -0.004567539785057306)"
21.0,"(0.5324752926826477, 0.5550273060798645, -0.06283596903085709)","(0.5309667587280273, 0.547005295753479, -0.05690838769078255)","(0.5277926921844482, 0.5474199652671814, -0.05720217898488045)","(0.5044615864753723, 0.6005966067314148, 0.041093610227108)","(0.5455060601234436, 0.5877198576927185, -0.018937189131975174)","(0.5409721732139587, 0.6547354459762573, -0.04567205533385277)","(0.5095781087875366, 0.6477559804916382, 0.00019729814084712416)","(0.5128228068351746, 0.5858631134033203, -0.060677994042634964)","(0.5067622661590576, 0.6512417197227478, -0.06318448483943939)","(0.5468577146530151, 0.7325379848480225, -0.03194521740078926)","(0.5237395167350769, 0.7355844378471375, 0.03198091313242912)","(0.5462868809700012, 0.8361492156982422, -0.0493551529943943)","(0.5026661157608032, 0.8239531517028809, 0.004877216648310423)"
22.0,"(0.5349218249320984, 0.5543972253799438, -0.05291968584060669)","(0.533729612827301, 0.5457055568695068, -0.04643500596284866)","(0.5310043096542358, 0.5462303161621094, -0.046646881848573685)","(0.5072073340415955, 0.5983834266662598, 0.05135075002908707)","(0.5483024716377258, 0.5872928500175476, 0.0043428922072052956)","(0.5439649224281311, 0.6520667672157288, -0.028808725997805595)","(0.5114796757698059, 0.6369734406471252, -0.026361865922808647)","(0.5131087899208069, 0.6072444915771484, -0.13845010101795197)","(0.5079386234283447, 0.6489543318748474, -0.04278890788555145)","(0.5507937073707581, 0.7306122183799744, -0.0295331459492445)","(0.5258927941322327, 0.7337096333503723, 0.029619568958878517)","(0.5556887984275818, 0.8331705331802368, -0.055148642510175705)","(0.504669725894928, 0.8194278478622437, 0.011503142304718494)"
23.0,"(0.5381795763969421, 0.5580081939697266, -0.0014324509538710117)","(0.5369856357574463, 0.5491113662719727, 0.007158783730119467)","(0.5339905023574829, 0.5495234727859497, 0.005101707298308611)","(0.5081950426101685, 0.6014214754104614, 0.08407115191221237)","(0.5506263971328735, 0.5890375375747681, 0.046428050845861435)","(0.5474271774291992, 0.6537484526634216, -0.013463412411510944)","(0.5125540494918823, 0.6504834890365601, 0.020722437649965286)","(0.5168284773826599, 0.6366448402404785, -0.024256177246570587)","(0.5114174485206604, 0.6486734747886658, -0.06185596063733101)","(0.5528619289398193, 0.7310973405838013, -0.02770143188536167)","(0.5266506671905518, 0.7333706021308899, 0.027821527794003487)","(0.5641218423843384, 0.8330559134483337, -0.0505942776799202)","(0.5064834356307983, 0.8238572478294373, 0.011488893069326878)"
24.0,"(0.5376642942428589, 0.560530960559845, 0.001618437934666872)","(0.5362089276313782, 0.551603376865387, 0.009771917946636677)","(0.5335618257522583, 0.5521934032440186, 0.009885502979159355)","(0.5087905526161194, 0.6043803691864014, 0.10041871666908264)","(0.5527932047843933, 0.5916503071784973, 0.04162547364830971)","(0.5503544211387634, 0.6577678322792053, -0.02907036989927292)","(0.5134801268577576, 0.6552685499191284, 0.07321226596832275)","(0.5158830881118774, 0.7088609337806702, 0.004734039772301912)","(0.5145493745803833, 0.6509901285171509, -0.10508846491575241)","(0.5533973574638367, 0.7334533929824829, -0.030927620828151703)","(0.5271581411361694, 0.7345850467681885, 0.031005697324872017)","(0.5696703195571899, 0.8340219259262085, -0.05072816088795662)","(0.5081087350845337, 0.8275181651115417, 0.01351290475577116)"
25.0,"(0.5362287759780884, 0.5625970959663391, -0.04950110241770744)","(0.535603404045105, 0.5536478757858276, -0.04083269089460373)","(0.5322255492210388, 0.5539289712905884, -0.039107270538806915)","(0.50928795337677, 0.6059532165527344, 0.09990768134593964)","(0.5541002154350281, 0.594465434551239, 0.011103681288659573)","(0.5547703504562378, 0.6606411933898926, -0.07258263230323792)","(0.5119712948799133, 0.6580593585968018, 0.06915153563022614)","(0.5146719217300415, 0.7204160094261169, -0.003926937468349934)","(0.5199382901191711, 0.6565666198730469, -0.1860194206237793)","(0.5527448654174805, 0.7348026633262634, -0.03183510899543762)","(0.5266628861427307, 0.7366024851799011, 0.03188249096274376)","(0.5719383358955383, 0.8353521227836609, -0.05450981855392456)","(0.5079066157341003, 0.8299802541732788, 0.02673228271305561)"
26.0,"(0.5357601642608643, 0.5660918951034546, -0.09672395139932632)","(0.5337997078895569, 0.5569535493850708, -0.08945605903863907)","(0.5316594839096069, 0.5581755042076111, -0.08565941452980042)","(0.5094374418258667, 0.6076840758323669, 0.05524393171072006)","(0.5543920397758484, 0.599425733089447, -0.025231221690773964)","(0.5586365461349487, 0.6668981909751892, -0.09139672666788101)","(0.5113790035247803, 0.6729838848114014, 0.0740552693605423)","(0.5091893076896667, 0.7333906292915344, 0.013261344283819199)","(0.5215514302253723, 0.6593255400657654, -0.19540177285671234)","(0.5517823100090027, 0.7438652515411377, -0.03257948160171509)","(0.5257255434989929, 0.7446838021278381, 0.03259718045592308)","(0.5706424713134766, 0.845078706741333, -0.05630999803543091)","(0.5073259472846985, 0.8382225632667542, 0.028427306562662125)"
27.0,"(0.5287442207336426, 0.5731010437011719, -0.12492241710424423)","(0.531946063041687, 0.5631341338157654, -0.11946652084589005)","(0.5270599722862244, 0.5640918016433716, -0.11294925212860107)","(0.5105565786361694, 0.6137859225273132, 0.03547186031937599)","(0.5545912384986877, 0.6106559038162231, -0.06489019095897675)","(0.5617910623550415, 0.6775416135787964, -0.11773908138275146)","(0.5119293332099915, 0.6857598423957825, 0.07112350314855576)","(0.5037118792533875, 0.7423429489135742, 0.008463027887046337)","(0.5247900485992432, 0.6753771305084229, -0.2071658819913864)","(0.551288902759552, 0.7534531950950623, -0.032814908772706985)","(0.5254473686218262, 0.7519606351852417, 0.03274077922105789)","(0.5650686025619507, 0.8560676574707031, -0.05527354031801224)","(0.5084110498428345, 0.8423855304718018, 0.0021278809290379286)"
28.0,"(0.5213237404823303, 0.5779740214347839, -0.1099746897816658)","(0.5257887244224548, 0.5680235624313354, -0.10894233733415604)","(0.5217429399490356, 0.5684925317764282, -0.09900372475385666)","(0.5125669240951538, 0.6190814971923828, 0.04085949435830116)","(0.5548213720321655, 0.618030309677124, -0.07814658433198929)","(0.5647477507591248, 0.6849094033241272, -0.12840543687343597)","(0.5123598575592041, 0.6907057166099548, 0.07476066797971725)","(0.5013807415962219, 0.7436012625694275, 0.009827017784118652)","(0.529689610004425, 0.6928333640098572, -0.19881948828697205)","(0.5509432554244995, 0.7572738528251648, -0.03893999010324478)","(0.5255715847015381, 0.755940854549408, 0.038858670741319656)","(0.5615177750587463, 0.8644316792488098, -0.07817746698856354)","(0.5101170539855957, 0.8485707640647888, 0.007074668537825346)"
29.0,"(0.5194559693336487, 0.579721987247467, -0.10998251289129257)","(0.5237587690353394, 0.5703979134559631, -0.11276648193597794)","(0.5203605890274048, 0.5706741809844971, -0.10023841261863708)","(0.5155069828033447, 0.6210533976554871, 0.03541472926735878)","(0.5560284852981567, 0.620331346988678, -0.09324218332767487)","(0.5683430433273315, 0.6884711384773254, -0.13810187578201294)","(0.5125754475593567, 0.6889715194702148, 0.06754980236291885)","(0.5005059838294983, 0.7380427122116089, -0.012153971940279007)","(0.5370413064956665, 0.7025337219238281, -0.196251779794693)","(0.5513395667076111, 0.7578517198562622, -0.0442742221057415)","(0.5264261960983276, 0.7569828629493713, 0.044204674661159515)","(0.5564901828765869, 0.8670804500579834, -0.07335361838340759)","(0.515743613243103, 0.8538355231285095, 0.04181832820177078)"
30.0,"(0.518744170665741, 0.5786479711532593, -0.10655223578214645)","(0.5227372050285339, 0.5694889426231384, -0.1130809411406517)","(0.5201826095581055, 0.5699272155761719, -0.09808190166950226)","(0.5178372263908386, 0.6202439069747925, 0.029108362272381783)","(0.5572434663772583, 0.6179759502410889, -0.11017874628305435)","(0.5718286037445068, 0.6856525540351868, -0.1535225361585617)","(0.5137309432029724, 0.6865798830986023, 0.05339788645505905)","(0.5011426210403442, 0.7293680310249329, -0.02888958528637886)","(0.5420732498168945, 0.7048685550689697, -0.19954247772693634)","(0.5529718399047852, 0.7562696933746338, -0.049286745488643646)","(0.5292419195175171, 0.7554764151573181, 0.049272000789642334)","(0.5474815964698792, 0.8623194098472595, -0.07078763097524643)","(0.5243046879768372, 0.8525916337966919, 0.05336671695113182)"
31.0,"(0.5188892483711243, 0.5758395195007324, -0.07789980620145798)","(0.522558331489563, 0.5663447976112366, -0.10750874131917953)","(0.520403265953064, 0.5666467547416687, -0.07053124904632568)","(0.5201161503791809, 0.6196911334991455, 0.03365405276417732)","(0.5593103766441345, 0.6171164512634277, -0.09446079283952713)","(0.5747213959693909, 0.6838980913162231, -0.13700909912586212)","(0.5156446695327759, 0.6852204203605652, 0.05609339475631714)","(0.5016170144081116, 0.7247724533081055, -0.025423813611268997)","(0.5447463989257812, 0.7040421366691589, -0.17792272567749023)","(0.5545967817306519, 0.7535285949707031, -0.051009755581617355)","(0.5329965353012085, 0.7551125288009644, 0.05101785808801651)","(0.542251706123352, 0.8585311770439148, -0.053723420947790146)","(0.5311229228973389, 0.8515458703041077, 0.06285049766302109)"
32.0,"(0.519745409488678, 0.5732918381690979, -0.08414062112569809)","(0.523082971572876, 0.5638929605484009, -0.09714917093515396)","(0.5204271078109741, 0.5638558864593506, -0.07603336870670319)","(0.5225722789764404, 0.6187869310379028, 0.039039433002471924)","(0.5608420968055725, 0.6160743236541748, -0.11126868426799774)","(0.577853798866272, 0.6829408407211304, -0.1454613357782364)","(0.5170271992683411, 0.6850285530090332, 0.06608925014734268)","(0.5006078481674194, 0.7225546836853027, 0.0012555909343063831)","(0.5478204488754272, 0.707097589969635, -0.17713536322116852)","(0.5560922026634216, 0.7492201924324036, -0.05307783558964729)","(0.5351552963256836, 0.7518379092216492, 0.05308067053556442)","(0.5420698523521423, 0.8516246676445007, -0.05463307723402977)","(0.5333265066146851, 0.8505140542984009, 0.06337368488311768)"
33.0,"(0.5199456214904785, 0.5730512142181396, -0.08374759554862976)","(0.5237878561019897, 0.563603937625885, -0.09335723519325256)","(0.5219550728797913, 0.563556432723999, -0.07540348172187805)","(0.5247256755828857, 0.6185111403465271, 0.03885868936777115)","(0.5632314085960388, 0.6156458854675293, -0.11429786682128906)","(0.5805898308753967, 0.6824402213096619, -0.14628733694553375)","(0.5189083218574524, 0.6847617626190186, 0.07511456310749054)","(0.5006679892539978, 0.7215825319290161, 0.02172483131289482)","(0.5501318573951721, 0.7103113532066345, -0.18209902942180634)","(0.5584993958473206, 0.7480825185775757, -0.0555715374648571)","(0.538047730922699, 0.7505051493644714, 0.05562359839677811)","(0.5420979261398315, 0.8459265828132629, -0.07183749228715897)","(0.5400818586349487, 0.85005122423172, 0.07246334105730057)"
34.0,"(0.5219247341156006, 0.5719776153564453, -0.07901852577924728)","(0.5261543989181519, 0.5626160502433777, -0.09131110459566116)","(0.524497389793396, 0.5625402331352234, -0.07058805972337723)","(0.5270527005195618, 0.6184337139129639, 0.04326828196644783)","(0.563543975353241, 0.6151508688926697, -0.10860659927129745)","(0.5836552977561951, 0.68208247423172, -0.13928526639938354)","(0.521003007888794, 0.6842562556266785, 0.08733745664358139)","(0.5012010931968689, 0.7208763957023621, 0.03480832278728485)","(0.5535084009170532, 0.7108264565467834, -0.17668357491493225)","(0.5606613159179688, 0.7474091649055481, -0.05761287361383438)","(0.5423093438148499, 0.7498825192451477, 0.05767874792218208)","(0.5428082346916199, 0.8439165949821472, -0.07311802357435226)","(0.545664370059967, 0.8497479557991028, 0.06725601106882095)"
